time_block,behind,leading,level
0-15,0.3596004408944551,0.34393672954403226,0.3652162499234826
15-30,0.3760408057001815,0.3568533227067303,0.3657263492976337
30-45,0.37199612947132943,0.36107558000933676,0.3670439569323931
45-60,0.37212837014904376,0.3639993080208771,0.3724030252083401
60-75,0.3868999243916948,0.36090290123492996,0.3747532567794876
75-90,0.3814747902140474,0.36538581128199504,0.3814447467411889
90+,0.38207380025961174,0.3878203524670347,0.3760464175761455
