time_block,TPR,compactness
0-15,0.36436285207759306,0.5843241405774166
15-30,0.36633382163095113,0.5926121019023701
30-45,0.3672699808422913,0.5866208744787966
45-60,0.3708034109500273,0.5815994644119631
60-75,0.3751923089942328,0.6127792901849419
75-90,0.3772139068769488,0.6139504756068543
90+,0.3818020037198792,0.6257724183523663
