match_id,team,frame,object_id,jersey,player_name,velocity_y_cm_s,deviation_from_team_mean_cm_s,team_n_fwd,team_n_bwd,responsible_reason
DFL-MAT-J041UB,0,11671,DFL-OBJ-J01KAL,26,Lukas Ullrich,-195.59102733015405,368.67072762181044,9,1,velocity_outlier_against_majority
DFL-MAT-J041UB,0,11881,DFL-OBJ-J01KAL,26,Lukas Ullrich,-451.16064491063827,413.4676939405155,6,4,velocity_outlier_against_majority
DFL-MAT-J041UB,0,28605,DFL-OBJ-J01KAL,26,Lukas Ullrich,-368.6227801988634,385.2639409704617,6,4,velocity_outlier_against_majority
DFL-MAT-J041UB,0,28726,DFL-OBJ-002GC0,27,Rocco Reitz,206.66680742768045,193.82404451426262,5,5,velocity_outlier_same_direction
DFL-MAT-J041UB,0,124063,DFL-OBJ-002GC0,27,Rocco Reitz,572.445046901574,456.17581190950983,7,3,velocity_outlier_same_direction
DFL-MAT-J041UB,0,132540,DFL-OBJ-00264N,30,Nico Elvedi,346.31991599382883,224.62950435233037,8,2,velocity_outlier_same_direction
DFL-MAT-J041UB,0,144131,DFL-OBJ-002GC0,27,Rocco Reitz,-209.75894676981414,165.78172471650623,3,7,velocity_outlier_same_direction
DFL-MAT-J041UB,0,150665,DFL-OBJ-J019JX,4,Kevin Diks Bakarbessy,-517.1990107316224,231.71942389334038,0,10,velocity_outlier_same_direction
DFL-MAT-J041UB,0,150777,DFL-OBJ-002GC7,20,Luca Netz,393.5603104624803,414.3379502944688,4,6,velocity_outlier_against_majority
DFL-MAT-J041UB,0,152153,DFL-OBJ-002GC7,20,Luca Netz,321.72937569676344,421.56156886591305,2,8,velocity_outlier_against_majority
DFL-MAT-J041UB,1,47606,DFL-OBJ-J02270,29,Emir Sahiti,202.5498434737608,201.73270750988394,4,6,velocity_outlier_against_majority
DFL-MAT-J041UB,1,50828,DFL-OBJ-J01IZ9,21,Nicolai Remberg,338.9763296285006,231.10580442102065,6,4,velocity_outlier_same_direction
DFL-MAT-J041UB,1,60385,DFL-OBJ-J01H5G,24,Nicolas Capaldo Taboas,-458.33053218922987,443.70843327365094,5,5,velocity_outlier_same_direction
DFL-MAT-J041UB,1,129467,DFL-OBJ-J02270,29,Emir Sahiti,239.67194238933212,267.75168068646275,4,6,velocity_outlier_against_majority
DFL-MAT-J041UB,1,129952,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,-271.15067903111117,207.4953844464693,4,6,velocity_outlier_same_direction
DFL-MAT-J041UB,1,131743,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,-202.13617501661395,227.3592403972847,8,2,velocity_outlier_against_majority
DFL-MAT-J041UB,1,131846,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,-194.51807652894635,423.5023450784301,9,1,velocity_outlier_against_majority
DFL-MAT-J041UB,1,136794,DFL-OBJ-J01W6J,14,Rayan Philippe,126.8593121853956,147.33174554913472,5,5,velocity_outlier_same_direction
DFL-MAT-J041UB,1,137189,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,-288.4044598718483,254.1023065099135,4,6,velocity_outlier_same_direction
DFL-MAT-J041UB,1,141124,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,39.89330315417118,195.12891034086374,2,8,velocity_outlier_against_majority
DFL-MAT-J041UB,1,152235,DFL-OBJ-J01H5G,24,Nicolas Capaldo Taboas,-413.80105401844474,317.8917378917379,3,7,velocity_outlier_same_direction
DFL-MAT-J041UB,1,169715,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,-309.9377414051269,287.32917947591454,5,5,velocity_outlier_same_direction
DFL-MAT-J041UN,0,76717,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,-249.68959382002353,415.8896180309167,8,2,velocity_outlier_against_majority
DFL-MAT-J041UN,0,116397,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,-326.8033174554878,388.44395178090514,8,2,velocity_outlier_against_majority
DFL-MAT-J041UN,0,116502,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,366.9011745098714,285.83185393511576,9,1,velocity_outlier_same_direction
DFL-MAT-J041UN,0,116562,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,150.69841390493423,131.15959764872605,6,4,velocity_outlier_same_direction
DFL-MAT-J041UN,0,121093,DFL-OBJ-J01G5F,17,Warmed Omari,295.9566681305788,222.82665140817258,8,2,velocity_outlier_same_direction
DFL-MAT-J041UN,0,141878,DFL-OBJ-J01G5F,17,Warmed Omari,-95.53338569643404,170.41989150141518,9,1,velocity_outlier_against_majority
DFL-MAT-J041UN,0,144802,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,429.3739935587794,265.058704379359,9,1,velocity_outlier_same_direction
DFL-MAT-J041UN,0,148779,DFL-OBJ-J01W6J,14,Rayan Philippe,-392.84109208022414,361.82002109538337,5,4,velocity_outlier_against_majority
DFL-MAT-J041UN,0,163561,DFL-OBJ-J017PC,7,Jean-Luc Mamadou Diarra Dompé,16.745858811078193,182.03540108129226,9,0,velocity_outlier_same_direction
DFL-MAT-J041UN,0,178390,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,-34.45221445221335,178.170128761914,8,1,velocity_outlier_against_majority
DFL-MAT-J041UN,1,31140,DFL-OBJ-J01RKL,16,Joel Chima Fujita,234.65120829250708,197.47503181198613,6,4,velocity_outlier_same_direction
DFL-MAT-J041UN,1,118814,DFL-OBJ-J01RKL,16,Joel Chima Fujita,-561.079876242923,369.7451310766545,2,8,velocity_outlier_same_direction
DFL-MAT-J041UN,1,134500,DFL-OBJ-J02452,28,Mathias Pereira Lage,174.4698236546019,275.6042180444317,3,7,velocity_outlier_against_majority
DFL-MAT-J041UO,0,36224,DFL-OBJ-0027T1,27,Konrad Laimer,-213.19545792371744,281.88582592930186,7,3,velocity_outlier_against_majority
DFL-MAT-J041UO,0,50154,DFL-OBJ-002GIC,44,Josip Stanišić,284.5468903077591,341.96387790952775,4,6,velocity_outlier_against_majority
