time_block,TPR,game_state
0-15,0.4050341929766374,level
0-15,0.3914761543458116,level
0-15,0.4851597903655518,level
0-15,0.4901607722410708,level
0-15,0.4361501757887452,level
0-15,0.4060653357139606,level
0-15,0.4020482427623821,level
0-15,0.4017069513141469,level
0-15,0.3655006554876238,level
0-15,0.3597132795564928,level
0-15,0.2554522864628653,level
0-15,0.2698597987331467,level
0-15,0.3169657873624213,level
0-15,0.3215462518195914,level
0-15,0.3908011441457432,level
0-15,0.6260902761580937,level
0-15,0.3986990655993068,level
0-15,0.4272539361707215,level
0-15,0.3962912271117459,level
0-15,0.4386005251941332,level
0-15,0.3706028130894387,level
0-15,0.4664261788508861,level
0-15,0.4576362571238482,level
0-15,0.3633233024200706,level
0-15,0.4194368872107011,level
0-15,0.4395590425650754,level
0-15,0.3767863297218946,level
0-15,0.2702316291994293,level
0-15,0.2599583632654412,level
0-15,0.2669245409822396,level
0-15,0.2899421720532835,level
0-15,0.2873561904271016,level
0-15,0.2565865455234244,level
0-15,0.4809437785170254,level
0-15,0.3743275324222734,level
0-15,0.5717620219787761,level
0-15,0.3959824742749958,level
0-15,0.496450267965979,level
0-15,0.2560836200051372,level
0-15,0.2964725099367303,level
0-15,0.3146825299443177,level
0-15,0.3000444583635623,level
0-15,0.2456081046658847,level
0-15,0.3625714915978877,level
0-15,0.371300197131269,level
0-15,0.3238215207163875,level
0-15,0.3329628329770335,level
0-15,0.2846648004316472,level
0-15,0.2970091070160817,level
0-15,0.411763438887942,level
0-15,0.4277386292051128,level
0-15,0.442452184190849,level
0-15,0.3105731772310824,level
0-15,0.3387196156953566,level
0-15,0.2950068069548933,level
0-15,0.4103241958227691,level
0-15,0.2661270639662729,level
0-15,0.3089668796604086,level
0-15,0.3380414306794603,level
0-15,0.4547381817504253,level
0-15,0.3871706925769858,level
0-15,0.5654258015304312,level
0-15,0.3040509095819437,level
0-15,0.3902076670292259,level
0-15,0.4842122205857234,level
0-15,0.361845896153903,level
0-15,0.324247778184935,level
0-15,0.454546984211417,level
0-15,0.5003013724359132,level
0-15,0.6127069424025052,level
0-15,0.3693161467151782,level
0-15,0.3826016539271111,level
0-15,0.4120255380599167,level
0-15,0.3427598821115175,level
