object_id_sb,player_name,touches,matches,avg_x_m,mean_hsv_tpr_on_ball,mean_adjusted_tpr
45057,Valentin André Stanislas Gendrey,1,1,63.7,0.2498133983011886,-0.13457611098100858
48626,Daniel Batz,60,1,13.34,0.27936533703680005,-0.11235544105394414
33246,Maarten Vandevoordt,45,1,17.513333333333335,0.2743692519662805,-0.10161771842851731
17974,Gregor Kobel,47,2,13.26595744680851,0.2799751887307831,-0.10139501020510308
20662,Alexander Nübel,91,2,14.247252747252746,0.3033784899365884,-0.09291941646678971
227260,Mio Backhaus,79,2,12.441772151898734,0.292941917916561,-0.08916257887508028
8524,Péter Gulácsi,44,1,9.086363636363636,0.28932480887483497,-0.0884078303106512
133141,Diant Ramaj,101,2,17.75643564356436,0.30420692975185526,-0.08557582972502444
8507,Lukas Manuel Klostermann,1,1,46.0,0.2921848382488899,-0.08554780093659625
37005,Finn Dahmen,97,2,14.601030927835051,0.3055440776886717,-0.08323827545590591
200848,Lasse Finn Rieß,33,1,10.315151515151515,0.3155130140677043,-0.08030353645534197
48246,Noah Atubolu,110,2,11.265454545454546,0.30842093505702634,-0.07978848581899306
8393,Oliver Baumann,90,2,15.98111111111111,0.30833308849601004,-0.07797341885486742
23198,Michael Zetterer,88,2,15.703409090909092,0.29560282958602274,-0.0739731322392838
36811,Moritz Nicolas,102,2,8.364705882352942,0.3069747982559212,-0.07396975464004793
24413,Kamil Mieczysław Grabara,61,2,11.222950819672132,0.3145680079582864,-0.07329972642021873
7095,Marvin Schwäbe,83,2,16.637349397590363,0.31224512835040014,-0.06761962493571382
47728,Nikola Vasilj,100,2,13.165999999999999,0.3125771643591402,-0.06585531361239984
48500,Moritz Jenz,56,1,52.392857142857146,0.34277413138159973,-0.06344536579205313
8828,Dominique Heintz,31,1,45.02258064516129,0.31833038759477084,-0.06300080115328953
40185,Castello Junior Lukeba,240,2,50.25125,0.3167095787009989,-0.060208415048832634
158626,Fabio Cristian Chiarodia,97,1,50.67835051546392,0.32001902993257864,-0.05916542720608799
407301,Abdoul Karim Coulibaly,176,2,46.30056818181818,0.3232250618539345,-0.058820116529395845
12420,Frederik Rønnow,55,2,16.592727272727274,0.33050821414089376,-0.05646374743390686
23384,Amos Pieper,181,2,48.507182320441984,0.3267091426941191,-0.055335000075010916
126795,Arthur Largura Chaves,48,1,54.55416666666667,0.3395187792623046,-0.05502924146157257
415558,Bruno Ifechukwu Ogbus,70,1,40.964285714285715,0.33379350013875086,-0.05458957440614272
45116,Chrislain Matsima,103,1,49.4,0.3306933501366459,-0.051955314093783185
8327,Karol Mets,82,1,42.32073170731707,0.3312183950826365,-0.05008052523881022
8559,Stefan Bell,49,1,42.30816326530612,0.3473681382507761,-0.04844841227227023
