object_id,player_name,times_flagged,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-J01WS3,Ilyas Ansah,4,23.31318090068456,1,15.945308428211774,7.367872472472786
DFL-OBJ-0027RM,Robin Hack,2,27.30097061349926,1,20.10380779417536,7.1971628193239
DFL-OBJ-J01B7D,Martin Albert Frederic Terrier,2,22.32867111930496,1,15.195490264021362,7.133180855283598
DFL-OBJ-J01RF2,Bilal El Khannouss,1,23.50143137222092,1,16.407108336957617,7.094323035263304
DFL-OBJ-J018BS,Rasmus Nissen Kristensen,3,29.87148994103808,1,22.80614124550573,7.06534869553235
DFL-OBJ-J01KAJ,Keke Maximilian Topp,8,25.55711920488516,1,18.4921012596937,7.06501794519146
DFL-OBJ-J01IB3,Yannik Engelhardt,2,15.244084598668664,1,8.1905994304784,7.053485168190264
DFL-OBJ-J01GTD,Jesper Gränge Lindström,2,23.186716281020896,1,16.32267893789927,6.864037343121627
DFL-OBJ-002FU7,Jonathan Michael Burkardt,4,23.788463708269724,1,17.17899693926413,6.609466769005593
DFL-OBJ-J01NAE,Jan Bürger,4,25.331179008593338,1,18.733766385154233,6.597412623439105
DFL-OBJ-J01XHG,Kristoffer Lund Hansen,2,25.812654794263405,2,19.33887996049915,6.473774833764256
DFL-OBJ-J017VJ,Arnaud Dominique Nordin,2,30.041176661688276,1,23.62604327435052,6.415133387337757
DFL-OBJ-002GKG,Ansgar Knauff,8,26.245024141664462,2,19.840885605251735,6.404138536412727
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,5,25.50330425350151,1,19.25783297989354,6.245471273607972
DFL-OBJ-002G8E,Eren Sami Dinkçi,3,21.621606531686826,1,15.392022694351168,6.2295838373356585
DFL-OBJ-J01AZQ,Omar Haktab Traoré,7,29.536755578573786,2,23.308156066056824,6.228599512516961
DFL-OBJ-J017TJ,Dimitrios Christos Giannoulis,6,27.346957403495768,2,21.14812390510767,6.1988334983880975
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,2,21.794360569909458,1,15.605833252784134,6.188527317125324
DFL-OBJ-0027IT,David Raum,3,28.533707748361717,2,22.42303551153734,6.110672236824378
DFL-OBJ-0028P3,Philipp Sander,1,18.422924259508992,1,12.354544952166131,6.068379307342861
DFL-OBJ-002706,Florian Christian Neuhaus,1,20.965015067729464,1,14.907988061430064,6.0570270062994
DFL-OBJ-J020YN,Marco Grüll,7,25.410306516656615,2,19.36166497202631,6.0486415446303035
DFL-OBJ-002G5R,Silas Katompa Mvumpa,1,22.915801788393487,1,17.073332309900785,5.842469478492703
DFL-OBJ-J01KUJ,Arkadiusz Pyrka,1,27.74447216658607,1,21.9245811835002,5.81989098308587
DFL-OBJ-002G56,Stefan Schimmer,7,23.99390931363111,2,18.185035082207612,5.8088742314234985
DFL-OBJ-J01RKL,Joel Chima Fujita,2,18.650961074891196,1,12.888138875243525,5.762822199647671
DFL-OBJ-002GMV,Igor Matanović,1,20.848127665584123,1,15.116630122702345,5.731497542881778
DFL-OBJ-J01NZP,Jeanuël Merick Belocian,2,25.917950153592795,1,20.421924295849745,5.496025857743049
DFL-OBJ-J01TR0,Olivier Deman,1,26.103853861446453,1,20.658135851799067,5.445718009647386
DFL-OBJ-J01860,Aleix García Serrano,2,15.495526433115044,1,10.452208093974303,5.0433183391407415
DFL-OBJ-002G4W,Philipp Treu,5,24.71541646823367,2,19.7023784941239,5.013037974109771
DFL-OBJ-J01US3,Eliesse Ben Seghir,1,28.99752047722633,1,24.15480376390844,4.842716713317891
DFL-OBJ-0000DT,Leonardo Jesus Loureiro Bittencourt,1,17.925797707683472,1,13.123362215963498,4.802435491719974
DFL-OBJ-J02452,Mathias Pereira Lage,1,22.510450275481787,1,17.789399221606217,4.72105105387557
DFL-OBJ-0027G6,Serge David Gnabry,3,20.753783293455452,2,16.240514222637717,4.513269070817735
DFL-OBJ-0028I9,Chris Jan Führich,3,24.108107694183843,1,19.66552663755176,4.442581056632083
DFL-OBJ-0002FX,Christopher Trimmel,17,27.298836703030705,2,22.86024361813404,4.438593084896667
DFL-OBJ-002GPZ,Justin Gideon Njinmah,9,26.027373484709877,2,21.622656932117852,4.404716552592024
DFL-OBJ-J02110,Albian Hajdari,1,22.662049339080387,1,18.41588201521219,4.246167323868196
DFL-OBJ-J01N5L,Saint-Cyr Johan Bakayoko,2,26.71602546289067,1,22.505816629463,4.2102088334276715
DFL-OBJ-002GC7,Luca Netz,10,27.757345263050574,2,23.6056039164245,4.151741346626075
DFL-OBJ-J0244R,Ricky-Jade Jones,1,22.73189538734583,1,18.674246937731002,4.0576484496148275
DFL-OBJ-002G1Y,Sheraldo Rudi Salomo Willem Becker,2,20.762292472469547,1,16.73800378542073,4.024288687048816
DFL-OBJ-00012Y,Lukas Kübler,2,21.758286502215537,2,17.828307870147245,3.9299786320682912
DFL-OBJ-J01NZR,Saël Kumbedi Kumbedi,1,22.970542837982844,1,19.05494296424907,3.9155998737337754
DFL-OBJ-002GJN,Ritsu Dōan,1,20.03536259519621,1,16.256032474117767,3.779330121078445
DFL-OBJ-J01C0A,Andreas Skov Olsen,1,21.891029252376303,1,18.31089125056348,3.5801380018128235
DFL-OBJ-J01U8K,Adam Daghim,10,23.110914073554326,1,19.562582871010907,3.5483312025434195
DFL-OBJ-0002IG,Marius Wolf,8,23.645153836478265,1,20.2845749008256,3.360578935652665
DFL-OBJ-0026MA,Pascal Stenzel,1,25.862347529818063,1,22.51211630786485,3.350231221953212
DFL-OBJ-J01T3R,Cenk Özkacar,1,19.04711329024317,1,15.74710605914148,3.3000072311016915
DFL-OBJ-J0133P,Vladimir Coufal,6,25.45900842623314,2,22.20532916515892,3.253679261074222
DFL-OBJ-0028RM,Julian Ryerson,7,26.78782701346938,2,23.57398875340407,3.213838260065309
DFL-OBJ-J01K2X,Anton Kade,7,22.400526490073553,2,19.356580976235232,3.0439455138383202
DFL-OBJ-J01K33,Patrick Wimmer,10,22.18995153299992,1,19.210503136761293,2.9794483962386273
DFL-OBJ-002GCU,Malik Leon Tillman,1,18.000559559203833,1,15.065650643987308,2.934908915216525
DFL-OBJ-00017V,Christian Günter,5,24.076964760824804,1,21.42907191627081,2.6478928445539935
DFL-OBJ-J016J2,Alejandro Grimaldo Garcia,4,24.5025206798818,2,22.058451706207173,2.4440689736746286
DFL-OBJ-0028LS,Josha Mamadou Karaboue Vagnoman,2,24.410511263683688,1,21.990436405612293,2.420074858071395
DFL-OBJ-J01D4G,Franck Honorat,5,22.6658552762559,2,20.56476550408348,2.101089772172422
DFL-OBJ-J01CAD,Derrick Arthur Köhn,4,24.256523100271817,1,22.293267888330067,1.9632552119417497
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,1,19.23950427353465,1,17.607387372782267,1.6321169007523828
DFL-OBJ-0028B6,Jan-Niklas Beste,8,23.61934922284977,2,22.053300852244828,1.5660483706049426
DFL-OBJ-0027FW,Oliver Jasen Burke,5,21.285154382292024,2,19.849465195007607,1.4356891872844173
DFL-OBJ-J01EAZ,Arijon Ibrahimović,5,20.131824368540254,2,19.16626107827558,0.9655632902646758
DFL-OBJ-J01KAS,Aaron Zehnter,3,20.994111475953183,1,20.22398271642711,0.7701287595260737
DFL-OBJ-J021EE,Kaishu Sano,1,9.105930369887227,1,8.51762056958196,0.588309800305268
DFL-OBJ-00278Q,Phillipp Mwene,10,23.14001479806837,2,22.58485110218991,0.5551636958784627
