match_id,team,frame,object_id,player_name,TPR,pressure,compactness,lpc,pos,anticipation,synchronization,pressure_percentile,compactness_percentile,lpc_percentile,pos_percentile,anticipation_percentile,synchronization_percentile,weakest_dimension,tied_dimensions,n_tied
DFL-MAT-J041UB,0,11671,DFL-OBJ-J01KAL,Lukas Ullrich,0.3104026443917251,0.0989408950531682,0.8108731001699654,0.4628754928335599,0.25,0.1613737353965224,0.432561572776437,0.8371051220719234,0.8807942923127681,0.3961512289673375,0.21053282744968657,0.6896548168921148,0.05857184097657539,synchronization,synchronization,1
DFL-MAT-J041UB,0,11881,DFL-OBJ-J01KAL,Lukas Ullrich,0.6829457301371757,1.0,0.8377872723526721,0.5475598325448966,1.0,0.4595436010713645,0.4111233197542964,0.9853338419663478,0.9008938881557241,0.6816335367865392,0.7418086027713626,0.9486813345430551,0.045761506103596174,synchronization,synchronization,1
DFL-MAT-J041UB,0,12032,DFL-OBJ-J0117M,Haris Tabaković,0.6348386797440946,0.2986524902064121,0.9109745463048404,0.480454832662598,1.0,0.4735408013616186,0.815203315432024,0.943242741669416,0.9495886258660509,0.44918137578356976,0.7418086027713626,0.957140795117123,0.9329326129990102,lpc,lpc,1
DFL-MAT-J041UB,0,28605,DFL-OBJ-0027RM,Robin Hack,0.3529026673394098,0.1712014281688733,0.6703222565690732,0.5394668292640031,0.3333333333333333,0.2696532125175122,0.3948807239540866,0.9001154734411085,0.6869896486308149,0.6568479874628835,0.27682695480039593,0.7839770290333223,0.035745216100296934,synchronization,synchronization,1
DFL-MAT-J041UB,0,28726,DFL-OBJ-0027RM,Robin Hack,0.7078853323961282,1.0,0.7264280853232143,0.563843072888011,1.0,0.4081318604425953,0.6188866974442433,0.9853338419663478,0.789152713625866,0.7257144919168591,0.7418086027713626,0.9105854091059057,0.3641898300890795,synchronization,synchronization,1
DFL-MAT-J041UB,0,124063,DFL-OBJ-J01KAL,Lukas Ullrich,0.4722352851124382,0.224879745192446,0.6180644802570772,0.5312660839183552,1.0,0.2630860444441911,0.4242436310954831,0.9241535384361597,0.5630103513691851,0.6296034724513362,0.7418086027713626,0.7778115720884197,0.05317964368195315,synchronization,synchronization,1
DFL-MAT-J041UB,0,132540,DFL-OBJ-J0117M,Haris Tabaković,0.4477451685015872,0.1183024854039311,0.7394054368395175,0.5220615814604673,0.6666666666666667,0.2125958182982532,0.6786823713842162,0.8598131804684922,0.8061798911250413,0.5977967255031342,0.5936675189706367,0.7326325882547015,0.5649280353018805,synchronization,synchronization,1
DFL-MAT-J041UB,0,144131,DFL-OBJ-J0117M,Haris Tabaković,0.5665335508771776,0.2664868911436056,0.7305196572356061,0.5067535973056991,1.0,0.4509523804220617,0.5992690112538068,0.9360668921148136,0.7949057654239525,0.5426736225668096,0.7418086027713626,0.9430262289673376,0.3100307241834378,synchronization,synchronization,1
DFL-MAT-J041UB,0,149983,DFL-OBJ-J0117M,Haris Tabaković,0.5068316950858608,0.0,0.6449000638655936,0.384710552517649,1.0,0.562410107741575,0.539613446388352,0.0,0.6286910260640053,0.23530806664467172,0.7418086027713626,0.9899476245463543,0.1821799736060706,pressure,pressure,1
DFL-MAT-J041UB,0,150665,DFL-OBJ-002GC7,Luca Netz,0.4851660279570668,0.1196686440547737,0.7503281366213388,0.5363371609812064,1.0,0.107715529393827,0.697236957568617,0.8611225668096338,0.8194593368525239,0.6466822005938634,0.7418086027713626,0.641614772352359,0.6301705295282085,synchronization,synchronization,1
