match_id,losing_team,recovery_seconds,post_loss_tpr,is_hsv
DFL-MAT-J041UN,1,43.8,0.39270424903513657,False
DFL-MAT-J041UN,0,5.16,0.4429680772286299,True
DFL-MAT-J041UN,0,14.84,0.534456265966466,True
DFL-MAT-J041UN,1,13.12,0.2596358715680036,False
DFL-MAT-J041UN,0,44.88,0.44377184071788617,True
DFL-MAT-J041UN,1,12.08,0.3717861159076012,False
DFL-MAT-J041UN,1,38.32,0.2562803821093981,False
DFL-MAT-J041UN,1,21.52,0.3239356915880335,False
DFL-MAT-J041UN,0,26.96,0.40162524746892064,True
DFL-MAT-J041UN,0,38.28,0.2618451652514886,True
DFL-MAT-J041UN,1,7.4,0.4544436377155238,False
DFL-MAT-J041UN,0,54.2,0.3148349287866303,True
DFL-MAT-J041UN,1,11.2,0.38255751089243273,False
DFL-MAT-J041UN,0,30.36,0.2533897463976155,True
DFL-MAT-J041UN,1,28.52,,False
DFL-MAT-J041UN,0,14.68,0.27757720077109976,True
DFL-MAT-J041UN,0,34.08,0.39443106773681746,True
DFL-MAT-J041UN,1,8.24,0.5702046793093655,False
DFL-MAT-J041UN,0,22.68,0.42729184873115883,True
DFL-MAT-J041UN,0,6.04,0.3257708681401363,True
DFL-MAT-J041UN,1,38.2,0.5272865642119016,False
DFL-MAT-J041UN,0,12.52,0.28392509981592967,True
DFL-MAT-J041UN,1,37.84,0.5262629876625146,False
DFL-MAT-J041UN,0,20.4,0.24264800358054017,True
DFL-MAT-J041UN,1,42.16,0.36600390724058585,False
DFL-MAT-J041UN,0,39.08,0.4854123428644549,True
DFL-MAT-J041UN,1,56.32,0.5237479936384023,False
DFL-MAT-J041UN,0,14.24,0.2687184525697237,True
DFL-MAT-J041UN,1,19.92,0.2990920834145912,False
DFL-MAT-J041UN,0,8.96,0.5034106049283014,True
DFL-MAT-J041UN,0,36.6,,True
DFL-MAT-J041UN,1,30.52,0.4407688708287845,False
DFL-MAT-J041UN,1,23.52,0.2769071746960065,False
DFL-MAT-J041UN,0,56.6,0.17975118329365625,True
DFL-MAT-J041UN,0,20.44,0.3790511205387297,True
DFL-MAT-J041UN,0,32.08,0.47382968951288146,True
DFL-MAT-J041UN,1,12.52,0.527436862288019,False
DFL-MAT-J041UN,0,43.96,0.32623675789756024,True
DFL-MAT-J041UN,1,6.96,0.44316559087492824,False
DFL-MAT-J041UN,0,9.68,0.4117165404513721,True
DFL-MAT-J041UN,1,4.2,0.39447369133771404,False
DFL-MAT-J041UN,1,10.08,0.3692447216131245,False
DFL-MAT-J041UN,0,5.32,0.39868746003742633,True
DFL-MAT-J041UN,1,16.84,0.2516641048844426,False
DFL-MAT-J041UN,1,18.28,0.40695410399337395,False
DFL-MAT-J041UN,0,21.56,0.2664287628837539,True
DFL-MAT-J041UN,0,15.28,0.39498755459821827,True
DFL-MAT-J041UN,0,39.84,0.44820067684554443,True
DFL-MAT-J041UN,1,9.32,0.25542308068860736,False
DFL-MAT-J041UO,1,13.12,0.3135070118621521,True
DFL-MAT-J041UO,1,25.56,0.3355339642478887,True
DFL-MAT-J041UO,1,36.76,0.543526943367774,True
DFL-MAT-J041UO,1,3.2,0.34791292504676113,True
DFL-MAT-J041UO,1,47.72,0.4539867127622241,True
DFL-MAT-J041UO,1,56.36,0.4035746890267544,True
DFL-MAT-J041UO,1,2.36,0.4407067824638171,True
DFL-MAT-J041UO,1,27.6,0.3606840173452406,True
DFL-MAT-J041UO,1,27.56,0.417735833024491,True
DFL-MAT-J041UO,1,19.28,0.473337430622923,True
DFL-MAT-J041UO,1,29.0,0.26880926414885814,True
DFL-MAT-J041UO,1,3.48,0.4383307291240476,True
DFL-MAT-J041UO,1,17.88,0.5392239574870834,True
DFL-MAT-J041UO,1,28.64,0.4954251053209844,True
DFL-MAT-J041UO,1,39.84,0.40323512832677655,True
DFL-MAT-J041UO,1,42.48,0.4305610214430005,True
DFL-MAT-J041UO,1,6.64,,True
DFL-MAT-J041UO,1,4.68,0.5015050576711124,True
DFL-MAT-J041UO,1,22.2,0.5397334091770589,True
