match_id,team,is_hsv,frame,simple_sync
DFL-MAT-J041UB,0,False,11671,0.9
DFL-MAT-J041UB,0,False,11881,0.6
DFL-MAT-J041UB,0,False,12032,1.0
DFL-MAT-J041UB,0,False,28605,0.6
DFL-MAT-J041UB,0,False,28726,0.5
DFL-MAT-J041UB,0,False,124063,0.7
DFL-MAT-J041UB,0,False,132540,0.8
DFL-MAT-J041UB,0,False,144131,0.7
DFL-MAT-J041UB,0,False,149983,0.6
DFL-MAT-J041UB,0,False,150665,1.0
DFL-MAT-J041UB,0,False,150777,0.6
DFL-MAT-J041UB,0,False,150838,0.5
DFL-MAT-J041UB,0,False,152153,0.8
DFL-MAT-J041UB,0,False,152369,0.5
DFL-MAT-J041UB,0,False,165058,0.7
DFL-MAT-J041UB,0,False,170877,1.0
DFL-MAT-J041UB,1,True,26980,0.6
DFL-MAT-J041UB,1,True,33302,0.7
DFL-MAT-J041UB,1,True,38239,0.6
DFL-MAT-J041UB,1,True,46624,1.0
DFL-MAT-J041UB,1,True,47606,0.6
DFL-MAT-J041UB,1,True,50828,0.6
DFL-MAT-J041UB,1,True,60385,0.5
DFL-MAT-J041UB,1,True,66312,0.8
DFL-MAT-J041UB,1,True,74710,1.0
DFL-MAT-J041UB,1,True,74831,0.7
DFL-MAT-J041UB,1,True,115072,0.9
DFL-MAT-J041UB,1,True,122150,0.8
DFL-MAT-J041UB,1,True,122773,0.7
DFL-MAT-J041UB,1,True,126837,0.9
DFL-MAT-J041UB,1,True,128069,0.6
DFL-MAT-J041UB,1,True,129467,0.6
DFL-MAT-J041UB,1,True,129952,0.6
DFL-MAT-J041UB,1,True,131743,0.8
DFL-MAT-J041UB,1,True,131846,0.9
DFL-MAT-J041UB,1,True,136794,0.5
DFL-MAT-J041UB,1,True,137100,0.8
DFL-MAT-J041UB,1,True,137189,0.6
DFL-MAT-J041UB,1,True,141124,0.8
DFL-MAT-J041UB,1,True,152235,0.7
DFL-MAT-J041UB,1,True,169715,0.5
DFL-MAT-J041UN,0,True,36396,0.5
DFL-MAT-J041UN,0,True,36407,0.5
DFL-MAT-J041UN,0,True,37339,0.7
DFL-MAT-J041UN,0,True,70706,0.7
DFL-MAT-J041UN,0,True,76717,0.8
DFL-MAT-J041UN,0,True,111985,0.8
