object_id,player_name,times_responsible,avg_deviation_cm_s,matches,is_goalkeeper
DFL-OBJ-0001K8,Patrick Mainka,2,310.5368273031298,1,False
DFL-OBJ-00012Y,Lukas Kübler,2,266.3412511401612,1,False
DFL-OBJ-00015H,Dominik Kohr,2,470.30940044255146,1,False
DFL-OBJ-J02471,Vinicius de Souza Costa,2,302.30657396146694,2,False
DFL-OBJ-J01QRR,Montrell Amare Culbreath,2,222.913104709301,1,False
DFL-OBJ-J01NP1,Abdoul Karim Coulibaly,2,324.90713503485057,1,False
DFL-OBJ-J01T26,Alexander Prass,2,329.4778118419398,2,False
DFL-OBJ-J021EE,Kaishu Sano,2,319.8790306915307,1,False
DFL-OBJ-J020YN,Marco Grüll,2,348.8468696158885,2,False
DFL-OBJ-J01N62,Badredine Bouanani,2,377.06779261398947,1,False
DFL-OBJ-J0231Z,Bazoumana Toure,2,275.45260154498925,1,False
DFL-OBJ-J01RKL,Joel Chima Fujita,2,283.6100814443203,1,False
DFL-OBJ-J0244Z,Adam Kölle,2,179.7907981712317,1,False
DFL-OBJ-0000DT,Leonardo Jesus Loureiro Bittencourt,1,309.98086635586515,1,False
DFL-OBJ-00002T,Pascal Groß,1,340.0081303559549,1,False
DFL-OBJ-002659,Tim Skarke,1,274.5211606026804,1,False
DFL-OBJ-002706,Florian Christian Neuhaus,1,347.6759583009565,1,False
DFL-OBJ-0002F5,Joshua Walter Kimmich,1,467.9257992410138,1,False
DFL-OBJ-0028NR,Marius Bülter,1,199.02389558911543,1,False
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,1,124.63146515320672,1,False
DFL-OBJ-0028BD,Linton Maina,1,236.682255948566,1,False
DFL-OBJ-0028B6,Jan-Niklas Beste,1,402.9254571917614,1,False
DFL-OBJ-0027T1,Konrad Laimer,1,281.88582592930186,1,False
DFL-OBJ-00286V,Nikolas Terkelsen Nartey,1,290.29803187955133,1,False
DFL-OBJ-0027KL,Dayotchanculle Oswald Upamecano,1,294.9224040854476,1,False
DFL-OBJ-002651,Benedikt Steffen Gimber,1,265.8494152787641,1,False
DFL-OBJ-002666,Marcel Sabitzer,1,241.22551743747184,1,False
DFL-OBJ-00264N,Nico Elvedi,1,224.6295043523304,1,False
DFL-OBJ-0025W7,Robin Leon Koch,1,265.6859748544522,1,False
DFL-OBJ-00258B,Maximilian Eggestein,1,357.31505410853515,1,False
DFL-OBJ-00264T,Waldemar Anton,1,163.64876608898362,1,False
DFL-OBJ-0001EW,Robert Andrich,1,353.60722329200445,1,False
DFL-OBJ-0000ZS,Matthias Lukas Ginter,1,321.4788605114685,1,False
DFL-OBJ-00017V,Christian Günter,1,360.6881453892304,1,False
DFL-OBJ-J01C0A,Andreas Skov Olsen,1,514.3080976993984,1,False
DFL-OBJ-J019T5,Diogo Filipe Monteiro Pinto Leite,1,299.3419450919475,1,False
DFL-OBJ-J019JX,Kevin Diks Bakarbessy,1,231.7194238933404,1,False
DFL-OBJ-002GN3,Fisnik Asllani,1,257.8256463745612,1,False
DFL-OBJ-J0159A,Joakim Barut Mæhle Pedersen,1,304.25421438464616,1,False
DFL-OBJ-J015AU,Karol Mets,1,229.10782715674037,1,False
DFL-OBJ-J0165W,Mattias Olof Svanberg,1,410.3657660777249,1,False
DFL-OBJ-J017VJ,Arnaud Dominique Nordin,1,457.0590042003046,1,False
DFL-OBJ-002GKG,Ansgar Knauff,1,256.26484747136806,1,False
DFL-OBJ-J0133P,Vladimir Coufal,1,277.22370021283047,1,False
DFL-OBJ-002G4A,Ellyes Joris Skhiri,1,391.79690297624944,1,False
DFL-OBJ-002GAR,Edmond Fayçal Tapsoba,1,215.7095157258188,1,False
DFL-OBJ-002G8H,Exequiel Alejandro Palacios,1,192.2915540578593,1,False
