match_id,team,frame,object_id,jersey,player_name,gap_m
DFL-MAT-J041UB,0,11671,DFL-OBJ-J01KAL,26,Lukas Ullrich,18.484041632222333
DFL-MAT-J041UB,0,11881,DFL-OBJ-J01KAL,26,Lukas Ullrich,22.109723714150057
DFL-MAT-J041UB,0,12032,DFL-OBJ-J0117M,15,Haris Tabaković,18.49284392794169
DFL-MAT-J041UB,0,28605,DFL-OBJ-0027RM,25,Robin Hack,29.36434549619237
DFL-MAT-J041UB,0,28726,DFL-OBJ-0027RM,25,Robin Hack,25.237595730806152
DFL-MAT-J041UB,0,124063,DFL-OBJ-J01KAL,26,Lukas Ullrich,26.27997867222015
DFL-MAT-J041UB,0,132540,DFL-OBJ-J0117M,15,Haris Tabaković,31.020839769419528
DFL-MAT-J041UB,0,144131,DFL-OBJ-J0117M,15,Haris Tabaković,30.42072218524086
DFL-MAT-J041UB,0,149983,DFL-OBJ-J0117M,15,Haris Tabaković,31.61747672677093
DFL-MAT-J041UB,0,150665,DFL-OBJ-002GC7,20,Luca Netz,30.62025564157745
DFL-MAT-J041UB,0,150777,DFL-OBJ-J0117M,15,Haris Tabaković,29.00808676095106
DFL-MAT-J041UB,0,150838,DFL-OBJ-J0117M,15,Haris Tabaković,26.60925822823308
DFL-MAT-J041UB,0,152153,DFL-OBJ-J0117M,15,Haris Tabaković,28.888335315208987
DFL-MAT-J041UB,0,152369,DFL-OBJ-J01D4G,9,Franck Honorat,29.363789092631475
DFL-MAT-J041UB,0,165058,DFL-OBJ-J01D4G,9,Franck Honorat,18.780913249071137
DFL-MAT-J041UB,0,170877,DFL-OBJ-002GC7,20,Luca Netz,25.688102352434207
DFL-MAT-J041UB,1,26980,DFL-OBJ-J02270,29,Emir Sahiti,22.634257113095813
DFL-MAT-J041UB,1,33302,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,24.56666970702026
DFL-MAT-J041UB,1,38239,DFL-OBJ-J02270,29,Emir Sahiti,15.449864956060095
DFL-MAT-J041UB,1,46624,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,27.63359962789976
DFL-MAT-J041UB,1,47606,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,29.874272551709556
DFL-MAT-J041UB,1,50828,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,22.049671899241435
DFL-MAT-J041UB,1,60385,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,29.61543783273669
DFL-MAT-J041UB,1,66312,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,24.388485164970273
DFL-MAT-J041UB,1,74710,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,23.83622023437711
DFL-MAT-J041UB,1,74831,DFL-OBJ-J02270,29,Emir Sahiti,24.709510589654478
DFL-MAT-J041UB,1,115072,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,17.76735764065282
DFL-MAT-J041UB,1,122150,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,24.79543030877929
DFL-MAT-J041UB,1,122773,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,45.74460541628224
DFL-MAT-J041UB,1,126837,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,8.789931459444285
DFL-MAT-J041UB,1,128069,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,19.470083731043047
DFL-MAT-J041UB,1,129467,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,20.091166598996736
DFL-MAT-J041UB,1,129952,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,19.991318671418902
DFL-MAT-J041UB,1,131743,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,25.98570380938596
DFL-MAT-J041UB,1,131846,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,31.94902840540511
DFL-MAT-J041UB,1,136794,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,23.97047669710429
DFL-MAT-J041UB,1,137100,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,30.625229512871396
DFL-MAT-J041UB,1,137189,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,29.96027740562865
DFL-MAT-J041UB,1,141124,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,25.874871383947067
DFL-MAT-J041UB,1,152235,DFL-OBJ-0027JU,25,Jordan Torunarigha,24.708170913212967
DFL-MAT-J041UB,1,169715,DFL-OBJ-J017PC,7,Jean-Luc Mamadou Diarra Dompé,21.970610700840822
DFL-MAT-J041UN,0,36396,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,27.821903641236027
DFL-MAT-J041UN,0,36407,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,27.84951964477026
DFL-MAT-J041UN,0,37339,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,15.572894622181849
DFL-MAT-J041UN,0,70706,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,34.53474392943438
DFL-MAT-J041UN,0,76717,DFL-OBJ-J02322,38,Alexander Rössing-Lelesiit,33.709003266702624
DFL-MAT-J041UN,0,111985,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,23.164863185863048
DFL-MAT-J041UN,0,116349,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,34.90045323204942
DFL-MAT-J041UN,0,116397,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,35.201307021890294
DFL-MAT-J041UN,0,116502,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,30.817008130632292
DFL-MAT-J041UN,0,116562,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,31.764407152163173
DFL-MAT-J041UN,0,121093,DFL-OBJ-J017PC,7,Jean-Luc Mamadou Diarra Dompé,29.908484819487775
DFL-MAT-J041UN,0,125115,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,27.166117694975927
DFL-MAT-J041UN,0,141878,DFL-OBJ-0002F6,15,Yussuf Yurary Poulsen,20.00203773569701
DFL-MAT-J041UN,0,144802,DFL-OBJ-J017PC,7,Jean-Luc Mamadou Diarra Dompé,24.425364194815657
DFL-MAT-J041UN,0,148779,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,21.60490110050264
DFL-MAT-J041UN,0,151574,DFL-OBJ-002G8B,11,Ransford-Yeboah Königsdörffer,36.24702679617323
DFL-MAT-J041UN,0,153883,DFL-OBJ-J01W6J,14,Rayan Philippe,33.206630667872645
DFL-MAT-J041UN,0,162115,DFL-OBJ-J01W6J,14,Rayan Philippe,32.14414303181841
DFL-MAT-J041UN,0,163561,DFL-OBJ-J01QSK,49,Otto Emerson Stange,26.207308290102972
DFL-MAT-J041UN,0,174928,DFL-OBJ-0002F6,15,Yussuf Yurary Poulsen,28.080387867914144
DFL-MAT-J041UN,0,175074,DFL-OBJ-0002F6,15,Yussuf Yurary Poulsen,29.396804912481556
DFL-MAT-J041UN,0,178390,DFL-OBJ-J01N5U,2,William Mikelbrencis,33.78492232583198
DFL-MAT-J041UN,1,14267,DFL-OBJ-J0248A,27,Andréas William Edwin Hountondji,26.247964412549578
DFL-MAT-J041UN,1,14472,DFL-OBJ-J0248A,27,Andréas William Edwin Hountondji,28.17132505856896
DFL-MAT-J041UN,1,15324,DFL-OBJ-J02452,28,Mathias Pereira Lage,22.510450275481787
DFL-MAT-J041UN,1,19073,DFL-OBJ-J01BGD,10,Danel Sinani,27.692928009302214
DFL-MAT-J041UN,1,31140,DFL-OBJ-J01W5Q,23,Louis Oppie,20.60854206810466
DFL-MAT-J041UN,1,70327,DFL-OBJ-J01KUJ,11,Arkadiusz Pyrka,27.74447216658607
DFL-MAT-J041UN,1,108769,DFL-OBJ-J01W5Q,23,Louis Oppie,27.93803074177554
DFL-MAT-J041UN,1,110823,DFL-OBJ-J01W5Q,23,Louis Oppie,7.5015265113175476
DFL-MAT-J041UN,1,114809,DFL-OBJ-J01W5Q,23,Louis Oppie,11.311378516812937
DFL-MAT-J041UN,1,118814,DFL-OBJ-J0248A,27,Andréas William Edwin Hountondji,32.696998201027945
DFL-MAT-J041UN,1,134500,DFL-OBJ-J0157X,2,Manolis Saliakas,14.785473768800959
DFL-MAT-J041UN,1,157409,DFL-OBJ-J01W5Q,23,Louis Oppie,34.49170481774666
DFL-MAT-J041UN,1,164156,DFL-OBJ-J021AR,19,Martijn Kaars,32.22223954022523
DFL-MAT-J041UO,0,36224,DFL-OBJ-J00ZZ3,9,Harry Edward Kane,36.55941750960996
DFL-MAT-J041UO,0,50154,DFL-OBJ-J00ZZ3,9,Harry Edward Kane,36.67320251513426
DFL-MAT-J041UO,0,51526,DFL-OBJ-0027G6,7,Serge David Gnabry,8.750453392133533
DFL-MAT-J041UO,0,55270,DFL-OBJ-J01DA7,14,Luis Fernando Díaz Marulanda,20.944005359382125
DFL-MAT-J041UO,0,62553,DFL-OBJ-J01R3R,17,Michael Akpovie Olise,13.887510553829149
DFL-MAT-J041UO,0,102641,DFL-OBJ-0027T1,27,Konrad Laimer,28.275604151343202
DFL-MAT-J041UO,0,139491,DFL-OBJ-J01KLU,11,Nicolas Jackson,37.62636508331247
DFL-MAT-J041UO,0,154416,DFL-OBJ-J01KLU,11,Nicolas Jackson,36.43288090600455
DFL-MAT-J041UO,0,169645,DFL-OBJ-J01UD5,42,Lennart Karl,20.793912273892115
DFL-MAT-J041UO,1,13902,DFL-OBJ-J01N5U,2,William Mikelbrencis,22.47132219046432
DFL-MAT-J041UO,1,28577,DFL-OBJ-J01N5U,2,William Mikelbrencis,22.922251252203303
DFL-MAT-J041UO,1,106612,DFL-OBJ-J01N5U,2,William Mikelbrencis,34.500590297329666
