object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-J024CC,Yan Diomande,DFL-MAT-J04205,47,27.271779621115336
DFL-OBJ-J020YN,Marco Grüll,DFL-MAT-J041XE,47,29.328321711458916
DFL-OBJ-J01R3Q,Carney Chibueze Chukwuemeka,DFL-MAT-J041WN,46,41.126982673430106
DFL-OBJ-0027T1,Konrad Laimer,DFL-MAT-J041UO,45,29.16120947936
DFL-OBJ-J01K2X,Anton Kade,DFL-MAT-J041WT,43,27.448793230370516
DFL-OBJ-J01KAS,Aaron Zehnter,DFL-MAT-J041W5,43,26.06016224522261
DFL-OBJ-J02110,Albian Hajdari,DFL-MAT-J041XN,43,29.71796328224504
DFL-OBJ-J01XHG,Kristoffer Lund Hansen,DFL-MAT-J041WE,43,25.479936259821105
DFL-OBJ-0002LI,Nadiem Amiri,DFL-MAT-J041ZQ,42,34.89911289746736
DFL-OBJ-J01AZQ,Omar Haktab Traoré,DFL-MAT-J041ZD,42,29.183113705835677
DFL-OBJ-002GKG,Ansgar Knauff,DFL-MAT-J041XW,42,27.035223251926617
DFL-OBJ-002GC7,Luca Netz,DFL-MAT-J041UB,40,27.993513997053032
DFL-OBJ-002GIC,Josip Stanišić,DFL-MAT-J041UO,39,27.44969861550543
DFL-OBJ-00012Y,Lukas Kübler,DFL-MAT-J041Y0,38,28.796547250259216
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,DFL-MAT-J0421Z,38,26.193617567892687
DFL-OBJ-002G8E,Eren Sami Dinkçi,DFL-MAT-J041ZD,38,29.169054185681027
DFL-OBJ-J024LV,Rômulo José Cardoso da Cruz,DFL-MAT-J041VR,38,32.36775099892077
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,DFL-MAT-J0420N,36,26.00575430455145
DFL-OBJ-0002JT,Marnon-Thomas Busch,DFL-MAT-J041V5,36,28.39344960599698
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,DFL-MAT-J041XE,36,29.416594429722952
DFL-OBJ-0027BH,Marco Friedl,DFL-MAT-J041XE,36,33.402736273844674
DFL-OBJ-J01IB2,Jordy Makengo Basambundu,DFL-MAT-J0422E,36,23.91727849148609
DFL-OBJ-002FW5,Amos Pieper,DFL-MAT-J0421J,36,31.047843864520345
DFL-OBJ-J021ZE,Andrej Ilić,DFL-MAT-J041VB,35,28.916713828269692
DFL-OBJ-J01R3R,Michael Akpovie Olise,DFL-MAT-J041UO,35,28.53781908238826
DFL-OBJ-J021YE,Arthur Largura Chaves,DFL-MAT-J04215,35,29.326737429626156
DFL-OBJ-J01US3,Eliesse Ben Seghir,DFL-MAT-J0422G,34,32.03473182913574
DFL-OBJ-J02110,Albian Hajdari,DFL-MAT-J0421W,34,27.133907591750905
DFL-OBJ-J01ZQD,Saïd El Mala,DFL-MAT-J041WE,34,32.76583609385551
DFL-OBJ-002FWZ,Alphonso Boyle Davies,DFL-MAT-J041Z5,34,27.806137519689347
