object_id,player_name,is_hsv,phase,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-0027HO,Robert-Nesta Glatzel,True,mid_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-0027HO,Robert-Nesta Glatzel,True,transition,1.0,0.0,1.0,0.0,0.0,0.0,2.0
DFL-OBJ-0027IT,David Raum,False,high_press,0.5,1.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-0027IT,David Raum,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0027JU,Jordan Torunarigha,True,low_press,0.0,1.0,0.0,0.0,0.0,3.0,4.0
DFL-OBJ-0027JU,Jordan Torunarigha,True,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0027RM,Robin Hack,False,mid_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0027RM,Robin Hack,False,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0027T1,Konrad Laimer,False,low_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-0027YK,Deniz Undav,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0027YK,Deniz Undav,False,low_press,2.5,0.0,0.0,0.5,1.0,3.0,7.0
DFL-OBJ-0028B6,Jan-Niklas Beste,False,high_press,0.0,1.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028B6,Jan-Niklas Beste,False,low_press,2.0,0.0,0.0,0.0,2.0,1.0,5.0
DFL-OBJ-0028B6,Jan-Niklas Beste,False,mid_press,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-0028BD,Linton Maina,False,high_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-0028BD,Linton Maina,False,low_press,0.5,0.0,1.0,0.0,0.5,1.0,3.0
DFL-OBJ-0028BD,Linton Maina,False,mid_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,False,low_press,5.5,0.0,1.0,0.0,1.5,2.0,10.0
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,False,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0028HA,Sirlord Calvin Conteh,False,low_press,4.5,0.0,2.0,0.0,0.5,2.0,9.0
DFL-OBJ-0028HA,Sirlord Calvin Conteh,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028I9,Chris Jan Führich,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028I9,Chris Jan Führich,False,transition,1.0,0.0,1.0,0.0,0.0,0.0,2.0
DFL-OBJ-0028LS,Josha Mamadou Karaboue Vagnoman,False,high_press,0.0,0.0,0.0,0.5,0.5,0.0,1.0
DFL-OBJ-0028LS,Josha Mamadou Karaboue Vagnoman,False,transition,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-0028NR,Marius Bülter,False,low_press,1.0,0.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-0028P3,Philipp Sander,False,transition,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028QV,Mathias Honsak,False,low_press,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-0028RM,Julian Ryerson,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0028RM,Julian Ryerson,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0028RM,Julian Ryerson,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028RM,Julian Ryerson,False,transition,1.0,0.0,0.0,0.0,1.0,2.0,4.0
DFL-OBJ-0028T0,Marvin Pieringer,False,high_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-0028T0,Marvin Pieringer,False,low_press,1.5,0.0,0.0,0.0,1.5,1.0,4.0
DFL-OBJ-0028TI,Tom Krauß,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-0028TI,Tom Krauß,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002FU7,Jonathan Michael Burkardt,False,low_press,1.5,0.0,0.0,0.0,0.5,2.0,4.0
DFL-OBJ-002FVR,Wooyeong Jeong,False,low_press,0.0,0.0,0.0,0.0,0.0,3.0,3.0
DFL-OBJ-002FVR,Wooyeong Jeong,False,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002FW5,Amos Pieper,False,low_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002FWZ,Alphonso Boyle Davies,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002FX2,Romano Christian Schmid,False,low_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-002FX2,Romano Christian Schmid,False,mid_press,0.5,0.0,1.0,0.0,0.5,0.0,2.0
DFL-OBJ-002G1Y,Sheraldo Rudi Salomo Willem Becker,False,low_press,1.0,0.0,1.0,0.0,0.0,0.0,2.0
DFL-OBJ-002G41,Jamie Leweling,False,low_press,1.0,1.0,0.0,0.0,0.0,1.0,3.0
