object_id,player_name,times_responsible,avg_deviation_cm_s,matches
DFL-OBJ-J01HP7,Miro Max Maria Muheim,41,328.7132369700985,20
DFL-OBJ-J01VXC,Giorgi Gocholeishvili,20,269.4226948449069,11
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,19,338.0506029164486,13
DFL-OBJ-J01IZ9,Nicolai Remberg,19,284.0952768309744,13
DFL-OBJ-0027JU,Jordan Torunarigha,13,292.92810938184346,8
DFL-OBJ-J01G5F,Warmed Omari,11,281.5018425616246,9
DFL-OBJ-J01N5U,William Mikelbrencis,10,289.640492328835,6
DFL-OBJ-J01W6J,Rayan Philippe,10,291.3281100050418,9
DFL-OBJ-J020IH,Luka Vušković,10,245.7491550116553,7
DFL-OBJ-002GC7,Luca Netz,6,334.66472041109415,2
DFL-OBJ-0027AT,Bakery Jatta,6,246.06631882014076,6
DFL-OBJ-J01OYX,Daniel Elfadli,5,269.470131780457,5
DFL-OBJ-002GIC,Josip Stanišić,4,303.99773550724376,2
DFL-OBJ-0028HA,Sirlord Calvin Conteh,4,334.22612341362105,2
DFL-OBJ-J01AZQ,Omar Haktab Traoré,4,346.8277848862058,2
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,4,276.13583331925554,4
DFL-OBJ-J019XM,Andreas Schjölberg Hanche-Olsen,4,377.7212407660767,1
DFL-OBJ-J01K2X,Anton Kade,4,267.0543143953447,2
DFL-OBJ-0001EA,Rani Khedira,3,344.9820257573876,1
DFL-OBJ-0002FX,Christopher Trimmel,3,395.87905344789357,2
DFL-OBJ-00278Q,Phillipp Mwene,3,301.5914369446963,2
DFL-OBJ-002GC0,Rocco Reitz,3,271.9271937134262,1
DFL-OBJ-J01QJA,Senne Maaike Lynen,3,359.69544713204186,1
DFL-OBJ-J01KAL,Lukas Ullrich,3,389.13412084426255,1
DFL-OBJ-J0244Y,Leon Avdullahu,3,273.371110304081,2
DFL-OBJ-J021LJ,Fabio Amado Uri Baldé,3,261.0536613815571,2
DFL-OBJ-J01IB3,Yannik Engelhardt,3,349.53515600073587,1
DFL-OBJ-J01GQO,Danilho Raimundo Doekhi,3,283.67000176420373,1
DFL-OBJ-0000NB,Danny Vieira da Costa,3,350.5492649460027,1
DFL-OBJ-J01860,Aleix García Serrano,3,322.91671171018885,1
DFL-OBJ-J01D4G,Franck Honorat,3,296.5592402096025,1
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,3,255.2317052914885,3
DFL-OBJ-J017LG,Cédric Adrian Zesiger,3,263.93041197932376,2
DFL-OBJ-J017PC,Jean-Luc Mamadou Diarra Dompé,3,237.57147129872502,3
DFL-OBJ-002G8E,Eren Sami Dinkçi,3,389.642814244264,1
DFL-OBJ-J01G3P,Konstantinos Koulierakis,3,426.8865226963049,2
DFL-OBJ-J02594,Albert Grønbæk Erlykke,3,358.47247136920913,3
DFL-OBJ-002FVR,Wooyeong Jeong,2,374.0027926984419,1
DFL-OBJ-002FW5,Amos Pieper,2,458.8591566444796,2
DFL-OBJ-J01DCO,Yukinari Sugawara,2,130.60539058365038,1
DFL-OBJ-J01NP1,Abdoul Karim Coulibaly,2,324.9071350348505,1
DFL-OBJ-J01N62,Badredine Bouanani,2,377.06779261398947,1
DFL-OBJ-J020YN,Marco Grüll,2,348.8468696158885,2
DFL-OBJ-J021EE,Kaishu Sano,2,319.8790306915307,1
DFL-OBJ-J01QRR,Montrell Amare Culbreath,2,222.913104709301,1
DFL-OBJ-00015H,Dominik Kohr,2,470.30940044255146,1
DFL-OBJ-00012Y,Lukas Kübler,2,266.3412511401612,1
DFL-OBJ-0000Y4,Maximilian Arnold,2,258.6033249158252,2
DFL-OBJ-0002IG,Marius Wolf,2,358.6226218427271,1
DFL-OBJ-0002JT,Marnon-Thomas Busch,2,223.6117170872614,2
DFL-OBJ-0001K8,Patrick Mainka,2,310.5368273031298,1
DFL-OBJ-0001QT,Jonas Meffert,2,327.1095803351237,2
DFL-OBJ-0002DW,Janik Haberer,2,256.33057019470095,1
DFL-OBJ-J02270,Emir Sahiti,2,234.74219409817334,1
DFL-OBJ-J02471,Vinicius de Souza Costa,2,302.30657396146694,2
DFL-OBJ-J0244Z,Adam Kölle,2,179.7907981712317,1
DFL-OBJ-J02322,Alexander Rössing-Lelesiit,2,315.49886476244967,1
DFL-OBJ-J0231Z,Bazoumana Toure,2,275.45260154498925,1
DFL-OBJ-J01RKL,Joel Chima Fujita,2,283.6100814443203,1
DFL-OBJ-J01T26,Alexander Prass,2,329.4778118419398,2
DFL-OBJ-0027BI,Niklas Bernd Dorsch,2,320.49353906962637,2
DFL-OBJ-J01EAQ,Mikkel Kaufmann Sörensen,2,390.1854828947241,1
DFL-OBJ-J019UO,Stanley Pierre Nsoki,2,284.08948740470726,1
DFL-OBJ-0027FU,Bernardo Fernandes da Silva Junior,2,318.1812889204173,1
DFL-OBJ-J01BKL,Han-Noah Massengo,2,175.48590982286677,2
DFL-OBJ-0027FW,Oliver Jasen Burke,2,508.05298948233474,2
DFL-OBJ-00264T,Waldemar Anton,1,163.64876608898362,1
DFL-OBJ-0025W7,Robin Leon Koch,1,265.6859748544522,1
DFL-OBJ-00258B,Maximilian Eggestein,1,357.31505410853515,1
DFL-OBJ-0002F6,Yussuf Yurary Poulsen,1,371.7274374176568,1
DFL-OBJ-0002F5,Joshua Walter Kimmich,1,467.9257992410138,1
DFL-OBJ-00017V,Christian Günter,1,360.6881453892304,1
DFL-OBJ-00002T,Pascal Groß,1,340.0081303559549,1
DFL-OBJ-0000ZS,Matthias Lukas Ginter,1,321.47886051146855,1
DFL-OBJ-0000DT,Leonardo Jesus Loureiro Bittencourt,1,309.98086635586515,1
DFL-OBJ-0001EW,Robert Andrich,1,353.60722329200445,1
DFL-OBJ-00264N,Nico Elvedi,1,224.62950435233037,1
DFL-OBJ-002706,Florian Christian Neuhaus,1,347.67595830095655,1
