match_id,team,is_hsv,frame,std_vy_instant,std_speed_instant,std_vy_windowed,std_speed_windowed
DFL-MAT-J041UB,0,False,11671,171.94138289081474,96.17800151465308,126.87349973525536,88.84535353292625
DFL-MAT-J041UB,0,False,11881,177.53462966478327,137.6360547325843,140.03027093866393,128.26960122365188
DFL-MAT-J041UB,0,False,12032,86.16562280805714,97.27893256965977,76.52937457673258,85.00188609654387
DFL-MAT-J041UB,0,False,28605,178.72821626456235,126.25415260482183,177.44384922410828,111.59861362091446
DFL-MAT-J041UB,0,False,28726,82.88927880266199,85.66290057336788,75.98909854853595,101.69038568595849
DFL-MAT-J041UB,0,False,124063,180.84045574165253,167.49826485351423,147.09223635020692,181.21139034495093
DFL-MAT-J041UB,0,False,132540,119.61845393571105,157.70578072054397,80.75065135010648,147.84912059299526
DFL-MAT-J041UB,0,False,144131,95.86729136523518,110.59828220486561,100.78629193176043,113.00023682940744
DFL-MAT-J041UB,0,False,149983,88.20479303165504,103.707903288428,86.37543513864235,94.68354446144035
DFL-MAT-J041UB,0,False,150665,98.1764624840271,116.55190097310609,120.40513237678157,114.65398167317643
DFL-MAT-J041UB,0,False,150777,211.0402341365075,172.11805340766193,180.1072418626416,129.76182403564528
DFL-MAT-J041UB,0,False,150838,129.36397877156728,66.54917342987146,181.36701237525128,97.16711426351274
DFL-MAT-J041UB,0,False,152153,168.6367715762604,123.14291477698872,148.22285158267914,103.64052575399026
DFL-MAT-J041UB,0,False,152369,141.9620821998153,130.17938888537935,164.69500783399542,143.06125561122056
DFL-MAT-J041UB,0,False,165058,94.45650944048654,64.71384798828623,75.83412022493803,55.82843452952679
DFL-MAT-J041UB,0,False,170877,125.12439358833078,110.23365118437466,123.4400553361677,115.43609311273678
DFL-MAT-J041UB,1,True,26980,127.07875140743357,143.1802840285791,129.77812640787826,177.7896495346365
DFL-MAT-J041UB,1,True,33302,133.641565140572,92.99932984608587,99.22201975784078,99.743591859393
DFL-MAT-J041UB,1,True,38239,99.87257641913507,76.16285502173709,167.0004255441512,82.48127849668886
DFL-MAT-J041UB,1,True,46624,115.64260611516931,123.95777089083195,83.39842744854721,80.01884886394924
DFL-MAT-J041UB,1,True,47606,111.68768531629217,151.7220247007887,100.31193831988601,104.7092494410616
DFL-MAT-J041UB,1,True,50828,167.66748745991353,192.39774540137702,151.0561413576177,151.086078009896
DFL-MAT-J041UB,1,True,60385,211.2746096881018,131.19672147385995,205.68855339064262,146.21389307744656
DFL-MAT-J041UB,1,True,66312,172.36115300588222,123.20643943188318,191.65978782558648,130.93516705348756
DFL-MAT-J041UB,1,True,74710,136.3811136827662,113.91782979359431,119.0341328435697,128.87550676848556
DFL-MAT-J041UB,1,True,74831,142.34361351004978,95.2731359432792,88.36919041044165,78.05605184412221
DFL-MAT-J041UB,1,True,115072,84.09400782354571,56.1101691496192,88.71167271988998,58.25752812887529
DFL-MAT-J041UB,1,True,122150,166.59740515764912,81.81463216911192,130.248867561255,86.05370753028402
DFL-MAT-J041UB,1,True,122773,197.94925596320712,148.8806140963784,182.08655524421442,131.64599860037248
DFL-MAT-J041UB,1,True,126837,102.58491422413816,92.64823768725205,71.06979054141988,70.4733202932455
DFL-MAT-J041UB,1,True,128069,132.6407804612184,132.79578619773693,130.2114594447915,133.92045157755143
