dimension,mean_percentile_random,mean_percentile_breakdown,shift,p_value_worse_at_breakdown,significant_and_worse
synchronization,0.5072662191211647,0.30487262431632756,-0.2023935948048371,5.424566942530144e-127,True
lpc,0.4903940154858132,0.4846899230856185,-0.005704092400194705,0.2620077389477293,False
compactness,0.5046442642176675,0.6711074170819198,0.16646315286425228,1.0,False
pos,0.44933223667931377,0.619673886111772,0.17034164943245822,1.0,False
pressure,0.33377574181375785,0.5202640115880917,0.1864882697743338,1.0,False
anticipation,0.2838748164797097,0.636571665334702,0.3526968488549923,1.0,False
