match_id,pressing_team,frame,window_mean_tpr,team_baseline_median_tpr,is_missed_trigger,is_hsv_pressing
DFL-MAT-J041UB,0,18378,0.2289494418870685,0.35554578668604386,True,False
DFL-MAT-J041UB,0,18598,0.32032616817265397,0.35554578668604386,True,False
DFL-MAT-J041UB,0,25271,0.34483459495118685,0.35554578668604386,True,False
DFL-MAT-J041UB,0,25532,0.4131711825018812,0.35554578668604386,False,False
DFL-MAT-J041UB,1,35668,0.3111264262528017,0.35549642495509814,True,True
DFL-MAT-J041UB,0,55922,0.4028128850369411,0.35554578668604386,False,False
DFL-MAT-J041UB,1,67126,0.23997796103306707,0.35549642495509814,True,True
DFL-MAT-J041UB,0,78022,0.2686827203939573,0.35554578668604386,True,False
DFL-MAT-J041UB,1,101963,0.3191975113190712,0.35549642495509814,True,True
DFL-MAT-J041UB,0,105931,0.2392302037530047,0.35554578668604386,True,False
DFL-MAT-J041UB,1,119178,0.23454825515238628,0.35549642495509814,True,True
DFL-MAT-J041UB,1,143743,0.34309363764990736,0.35549642495509814,True,True
DFL-MAT-J041UB,0,151582,0.29094072437362856,0.35554578668604386,True,False
DFL-MAT-J041UB,1,154455,0.3721163670186576,0.35549642495509814,False,True
DFL-MAT-J041UB,0,158784,0.37009894689689177,0.35554578668604386,False,False
DFL-MAT-J041UB,0,162216,0.389703084806387,0.35554578668604386,False,False
DFL-MAT-J041UB,0,162419,0.29422326455875436,0.35554578668604386,True,False
DFL-MAT-J041UB,0,162601,0.36330862401922276,0.35554578668604386,False,False
DFL-MAT-J041UN,0,22973,0.3252248959741781,0.3540383897946805,True,True
DFL-MAT-J041UN,1,23730,0.31915622777867036,0.346869783125819,True,False
DFL-MAT-J041UN,1,23902,0.3052028410658242,0.346869783125819,True,False
DFL-MAT-J041UN,1,27384,0.25052225607880346,0.346869783125819,True,False
DFL-MAT-J041UN,0,33135,0.3267660137374071,0.3540383897946805,True,True
DFL-MAT-J041UN,0,45853,0.31527048242876865,0.3540383897946805,True,True
DFL-MAT-J041UN,0,45969,0.34395103371412256,0.3540383897946805,True,True
DFL-MAT-J041UN,1,49575,0.25211354567946404,0.346869783125819,True,False
DFL-MAT-J041UN,1,51057,0.3461661427200266,0.346869783125819,True,False
DFL-MAT-J041UN,1,66860,0.2569328571608023,0.346869783125819,True,False
DFL-MAT-J041UN,1,73309,0.3190066814866568,0.346869783125819,True,False
DFL-MAT-J041UN,1,102764,0.390733263996799,0.346869783125819,False,False
DFL-MAT-J041UN,1,126869,0.2933463414644386,0.346869783125819,True,False
DFL-MAT-J041UN,0,131306,0.2830345876125445,0.3540383897946805,True,True
DFL-MAT-J041UN,1,131693,0.27358440132124134,0.346869783125819,True,False
DFL-MAT-J041UN,1,137123,0.37669891697436025,0.346869783125819,False,False
DFL-MAT-J041UN,0,140584,0.3494373318117599,0.3540383897946805,True,True
DFL-MAT-J041UN,1,145173,0.31317585278548404,0.346869783125819,True,False
DFL-MAT-J041UN,0,149104,0.205234572961297,0.3540383897946805,True,True
DFL-MAT-J041UN,0,149742,0.3627808629247145,0.3540383897946805,False,True
DFL-MAT-J041UN,1,150019,0.3960732364329094,0.346869783125819,False,False
DFL-MAT-J041UN,1,153518,0.3012485532626047,0.346869783125819,True,False
DFL-MAT-J041UN,0,158085,0.28821985454859406,0.3540383897946805,True,True
DFL-MAT-J041UN,1,171554,0.3293937271248689,0.346869783125819,True,False
DFL-MAT-J041UO,0,59296,0.42929929023752145,0.34781368196249735,False,False
DFL-MAT-J041UO,0,72201,0.28602794718127644,0.34781368196249735,True,False
DFL-MAT-J041UO,0,72604,0.3201891420114143,0.34781368196249735,True,False
DFL-MAT-J041UO,0,79267,0.33913789949787565,0.34781368196249735,True,False
DFL-MAT-J041UO,0,108609,0.45908636248918067,0.34781368196249735,False,False
DFL-MAT-J041UO,0,109755,0.2887153692426984,0.34781368196249735,True,False
DFL-MAT-J041UO,0,110486,0.2736898690044187,0.34781368196249735,True,False
DFL-MAT-J041UO,0,142678,0.41417572719586565,0.34781368196249735,False,False
DFL-MAT-J041UO,0,151016,0.3622143763761552,0.34781368196249735,False,False
DFL-MAT-J041UO,0,155781,0.32478109862495375,0.34781368196249735,True,False
DFL-MAT-J041V5,0,21160,0.2487296290788672,0.34457678430365624,True,True
DFL-MAT-J041V5,0,23696,0.3367749426156875,0.34457678430365624,True,True
DFL-MAT-J041V5,1,43330,0.24554457394427576,0.3421315255992752,True,False
DFL-MAT-J041V5,1,45113,0.2888628485662025,0.3421315255992752,True,False
DFL-MAT-J041V5,1,46836,0.25115760098211537,0.3421315255992752,True,False
DFL-MAT-J041V5,1,51671,0.25043228723126953,0.3421315255992752,True,False
DFL-MAT-J041V5,0,76493,0.2692456467034203,0.34457678430365624,True,True
DFL-MAT-J041V5,1,109181,0.36548689835104864,0.3421315255992752,False,False
DFL-MAT-J041V5,1,125743,0.37197129902743603,0.3421315255992752,False,False
DFL-MAT-J041V5,1,132130,0.2730138408609934,0.3421315255992752,True,False
DFL-MAT-J041V5,0,138141,0.2649803822370982,0.34457678430365624,True,True
DFL-MAT-J041V5,0,144296,0.3213618750185134,0.34457678430365624,True,True
DFL-MAT-J041V5,1,145166,0.277261657016737,0.3421315255992752,True,False
DFL-MAT-J041V5,1,145886,0.4463936002305432,0.3421315255992752,False,False
DFL-MAT-J041V5,1,146210,0.2769061392598888,0.3421315255992752,True,False
DFL-MAT-J041V5,1,154715,0.3207703235349369,0.3421315255992752,True,False
DFL-MAT-J041V5,0,155250,0.37011033134599924,0.34457678430365624,False,True
DFL-MAT-J041VB,0,30167,0.29642762613530954,0.34652335114483523,True,False
DFL-MAT-J041VB,1,46113,0.3076242752610677,0.3627896139776439,True,True
DFL-MAT-J041VB,0,47685,0.3144283546227385,0.34652335114483523,True,False
DFL-MAT-J041VB,1,50305,0.2664713915058519,0.3627896139776439,True,True
DFL-MAT-J041VB,1,50974,0.3583256073747544,0.3627896139776439,True,True
DFL-MAT-J041VB,0,58988,0.3027921890941153,0.34652335114483523,True,False
DFL-MAT-J041VB,0,61304,0.254412836944754,0.34652335114483523,True,False
DFL-MAT-J041VB,1,61908,0.4296807767813551,0.3627896139776439,False,True
DFL-MAT-J041VB,0,62194,0.3591048858708998,0.34652335114483523,False,False
DFL-MAT-J041VB,0,77429,0.3582564731408247,0.34652335114483523,False,False
DFL-MAT-J041VB,0,105455,0.3327014873865442,0.34652335114483523,True,False
DFL-MAT-J041VB,1,127221,0.2721774241716485,0.3627896139776439,True,True
DFL-MAT-J041VB,0,127871,0.43296383082328205,0.34652335114483523,False,False
DFL-MAT-J041VB,1,147748,0.2207071250687275,0.3627896139776439,True,True
DFL-MAT-J041VB,0,166527,0.31119000887823195,0.34652335114483523,True,False
DFL-MAT-J041VB,0,166698,0.3324238805069186,0.34652335114483523,True,False
DFL-MAT-J041VB,0,167394,0.3260776899681259,0.34652335114483523,True,False
DFL-MAT-J041VN,0,14799,0.24247804357000927,0.3501025328758875,True,True
DFL-MAT-J041VN,0,17390,0.3506301938168114,0.3501025328758875,False,True
DFL-MAT-J041VN,0,18096,0.3864921803918834,0.3501025328758875,False,True
DFL-MAT-J041VN,1,32028,0.3084974003749964,0.3653812563966881,True,False
DFL-MAT-J041VN,1,38951,0.38584049794892866,0.3653812563966881,False,False
DFL-MAT-J041VN,0,41144,0.3349777752095415,0.3501025328758875,True,True
DFL-MAT-J041VN,0,42496,0.3017376208010072,0.3501025328758875,True,True
DFL-MAT-J041VN,1,47696,0.3660294632792976,0.3653812563966881,False,False
DFL-MAT-J041VN,1,68252,0.33306988727453335,0.3653812563966881,True,False
DFL-MAT-J041VN,0,73783,0.3787503442334142,0.3501025328758875,False,True
DFL-MAT-J041VN,1,104227,0.33413638207169516,0.3653812563966881,True,False
DFL-MAT-J041VN,0,104497,0.2890270578984008,0.3501025328758875,True,True
DFL-MAT-J041VN,0,117934,0.37286166263595044,0.3501025328758875,False,True
DFL-MAT-J041VN,1,126669,0.35667412901461804,0.3653812563966881,True,False
DFL-MAT-J041VN,1,139346,0.34107300000667645,0.3653812563966881,True,False
DFL-MAT-J041VN,1,140516,0.3155862060215794,0.3653812563966881,True,False
DFL-MAT-J041VN,1,140664,0.33676336719876515,0.3653812563966881,True,False
DFL-MAT-J041VN,1,140786,0.3890334749943136,0.3653812563966881,False,False
DFL-MAT-J041VN,1,145998,0.2986959286114693,0.3653812563966881,True,False
DFL-MAT-J041VN,0,147164,0.3445339345368284,0.3501025328758875,True,True
DFL-MAT-J041VN,1,159207,0.35058043773890546,0.3653812563966881,True,False
DFL-MAT-J041VR,0,20047,0.2866517478515839,0.3556813408104022,True,False
DFL-MAT-J041VR,0,20320,0.4051741162863558,0.3556813408104022,False,False
DFL-MAT-J041VR,0,24026,0.2901225530976574,0.3556813408104022,True,False
DFL-MAT-J041VR,0,28677,0.32461527126757767,0.3556813408104022,True,False
DFL-MAT-J041VR,0,28868,0.33808891187275114,0.3556813408104022,True,False
DFL-MAT-J041VR,0,29158,0.327976988285026,0.3556813408104022,True,False
DFL-MAT-J041VR,0,29316,0.2309688483762581,0.3556813408104022,True,False
DFL-MAT-J041VR,0,29729,0.3162974560076074,0.3556813408104022,True,False
DFL-MAT-J041VR,0,31576,0.38811023367411873,0.3556813408104022,False,False
DFL-MAT-J041VR,0,34557,0.3636268109521993,0.3556813408104022,False,False
DFL-MAT-J041VR,0,34666,0.4132513391697078,0.3556813408104022,False,False
DFL-MAT-J041VR,1,72545,0.24020194015789972,0.3425082897051583,True,True
DFL-MAT-J041VR,0,101404,0.3123120836126853,0.3556813408104022,True,False
DFL-MAT-J041VR,0,118380,0.2571624035729807,0.3556813408104022,True,False
DFL-MAT-J041VR,0,129510,0.38871716945546375,0.3556813408104022,False,False
DFL-MAT-J041VR,0,135652,0.45372884954955356,0.3556813408104022,False,False
DFL-MAT-J041VR,0,142682,0.2347313541185801,0.3556813408104022,True,False
DFL-MAT-J041VR,0,144172,0.3101071720359075,0.3556813408104022,True,False
DFL-MAT-J041VR,1,151165,0.4248062884881593,0.3425082897051583,False,True
DFL-MAT-J041W5,0,18652,0.30514098007415813,0.34703925344725384,True,True
DFL-MAT-J041W5,0,19557,0.3793695161481639,0.34703925344725384,False,True
DFL-MAT-J041W5,1,28011,0.25856476921673016,0.3611602092518861,True,False
DFL-MAT-J041W5,0,31350,0.3408111708910397,0.34703925344725384,True,True
DFL-MAT-J041W5,0,37690,0.333413041283056,0.34703925344725384,True,True
DFL-MAT-J041W5,1,39232,0.24173736040062463,0.3611602092518861,True,False
DFL-MAT-J041W5,1,39577,0.2997441430786407,0.3611602092518861,True,False
DFL-MAT-J041W5,1,40227,0.35857571450223424,0.3611602092518861,True,False
DFL-MAT-J041W5,1,55304,0.28259037541013216,0.3611602092518861,True,False
DFL-MAT-J041W5,1,61012,0.2382066901405981,0.3611602092518861,True,False
DFL-MAT-J041W5,1,61499,0.33133508186849486,0.3611602092518861,True,False
DFL-MAT-J041W5,1,62222,0.3913557709557732,0.3611602092518861,False,False
DFL-MAT-J041W5,1,62448,0.30235215874890226,0.3611602092518861,True,False
DFL-MAT-J041W5,1,63536,0.2723790976039031,0.3611602092518861,True,False
DFL-MAT-J041W5,0,64082,0.2516974061291741,0.34703925344725384,True,True
